Id,ActivityHour,weekday,hour,TotalIntensity,AverageIntensity
1503960366,2016-04-12T03:00:00,Tuesday,3,0.0,0
1503960366,2016-04-12T04:00:00,Tuesday,4,0.0,0
1503960366,2016-04-12T05:00:00,Tuesday,5,0.0,0
1503960366,2016-04-12T06:00:00,Tuesday,6,0.0,0
1503960366,2016-04-12T07:00:00,Tuesday,7,0.0,0
1503960366,2016-04-13T01:00:00,Wednesday,1,0.0,0
1503960366,2016-04-13T02:00:00,Wednesday,2,0.0,0
1503960366,2016-04-13T04:00:00,Wednesday,4,0.0,0
1503960366,2016-04-13T05:00:00,Wednesday,5,0.0,0
1503960366,2016-04-13T06:00:00,Wednesday,6,0.0,0
1503960366,2016-04-13T20:00:00,Wednesday,20,0.0,0
1503960366,2016-04-13T21:00:00,Wednesday,21,0.0,0
1503960366,2016-04-14T02:00:00,Thursday,2,0.0,0
1503960366,2016-04-14T03:00:00,Thursday,3,0.0,0
1503960366,2016-04-14T04:00:00,Thursday,4,0.0,0
1503960366,2016-04-14T05:00:00,Thursday,5,0.0,0
1503960366,2016-04-14T06:00:00,Thursday,6,0.0,0
1503960366,2016-04-14T07:00:00,Thursday,7,0.0,0
1503960366,2016-04-14T08:00:00,Thursday,8,0.0,0
1503960366,2016-04-14T23:00:00,Thursday,23,0.0,0
1503960366,2016-04-15T03:00:00,Friday,3,0.0,0
1503960366,2016-04-15T04:00:00,Friday,4,0.0,0
1503960366,2016-04-15T06:00:00,Friday,6,0.0,0
1503960366,2016-04-15T14:00:00,Friday,14,0.0,0
1503960366,2016-04-15T15:00:00,Friday,15,0.0,0
1503960366,2016-04-15T16:00:00,Friday,16,0.0,0
1503960366,2016-04-16T01:00:00,Saturday,1,0.0,0
1503960366,2016-04-16T06:00:00,Saturday,6,0.0,0
1503960366,2016-04-16T15:00:00,Saturday,15,0.0,0
1503960366,2016-04-17T00:00:00,Sunday,0,0.0,0
1503960366,2016-04-17T01:00:00,Sunday,1,0.0,0
1503960366,2016-04-17T02:00:00,Sunday,2,0.0,0
1503960366,2016-04-17T04:00:00,Sunday,4,0.0,0
1503960366,2016-04-17T05:00:00,Sunday,5,0.0,0
