Id,week_day,Calories,TotalDistance,TotalSteps
1624580081,Sunday,2690,28.0300006866455,36019
1644430081,Thursday,3226,8.02000045776367,11037
1644430081,Tuesday,3300,8.18000030517578,11256
1644430081,Thursday,3108,6.84000015258789,9405
1644430081,Saturday,3846,13.2399997711182,18213
1644430081,Tuesday,3324,9.34000015258789,12850
2022484408,Wednesday,2897,10.6700000762939,15112
2022484408,Monday,2709,9.39000034332275,13379
2347167796,Thursday,2010,6.69999980926514,10129
2347167796,Saturday,2670,15.0799999237061,22244
2347167796,Wednesday,2198,7.26999998092651,10999
3977333714,Saturday,1625,9.0,13459
3977333714,Sunday,1529,6.96999979019165,10415
3977333714,Tuesday,1638,8.77999973297119,12414
3977333714,Wednesday,1554,7.82999992370605,11658
3977333714,Saturday,1638,8.06999969482422,12058
3977333714,Saturday,1650,9.19999980926514,13238
3977333714,Monday,1760,11.0500001907349,16520
3977333714,Wednesday,1628,9.4399995803833,13559
3977333714,Thursday,1618,8.57999992370605,12312
3977333714,Friday,1590,8.27999973297119,11677
3977333714,Saturday,1574,7.73000001907349,11550
3977333714,Sunday,1633,9.09000015258789,13585
3977333714,Monday,1667,10.0799999237061,14687
3977333714,Tuesday,1630,8.77999973297119,13072
4319703577,Wednesday,2324,7.23000001907349,10780
4388161847,Wednesday,3074,8.60999965667725,11193
4388161847,Saturday,3283,9.64000034332275,12533
4388161847,Thursday,2899,7.38000011444092,9603
4388161847,Friday,3425,10.1300001144409,13175
4388161847,Saturday,4022,17.5400009155273,22770
4702921684,Sunday,3394,10.289999961853,12692
4702921684,Saturday,3691,12.2700004577637,15126
4702921684,Sunday,3287,10.4300003051758,12857
4702921684,Tuesday,3172,8.60999965667725,10613
5577150313,Friday,4005,9.07999992370605,12087
5577150313,Saturday,4274,10.6599998474121,14269
5577150313,Sunday,4552,9.14000034332275,12231
5577150313,Thursday,4018,8.09000015258789,10830
5577150313,Sunday,4392,11.7799997329712,15764
5577150313,Saturday,4501,9.23999977111816,12363
5577150313,Sunday,4546,9.98999977111816,13368
5577150313,Tuesday,3841,6.65000009536743,8869
6775888955,Wednesday,3727,7.71999979019165,10771
6962181067,Monday,2162,8.53999996185303,12912
7007744171,Friday,2889,10.2399997711182,15299
7086361926,Tuesday,2944,7.28999996185303,10688
7086361926,Friday,2846,6.53000020980835,9753
7086361926,Thursday,2862,7.80000019073486,11584
7086361926,Monday,2960,9.10999965667725,13566
8253242879,Monday,1909,4.51000022888184,6829
8583815059,Friday,2944,6.78000020980835,8687
8583815059,Saturday,3012,7.34999990463257,9423
8583815059,Sunday,2889,6.46000003814697,8286
8583815059,Tuesday,3093,8.1899995803833,10499
8583815059,Friday,3513,11.8299999237061,15168
8583815059,Tuesday,2846,6.42999982833862,8240
8583815059,Wednesday,2804,6.78999996185303,8701
8792009665,Saturday,2748,3.35999989509583,5245
1624580081,Tuesday,1432,5.30999994277954,8163
1624580081,Wednesday,1411,4.55000019073486,7007
1624580081,Thursday,1572,5.92000007629395,9107
1624580081,Friday,1344,0.980000019073486,1510
1624580081,Saturday,1463,3.49000000953674,5370
1624580081,Tuesday,1435,1.89999997615814,2916
1624580081,Wednesday,1446,3.23000001907349,4974
1624580081,Thursday,1467,4.13000011444092,6349
1624580081,Friday,1470,2.61999988555908,4026
1624580081,Saturday,1562,5.55000019073486,8538
1624580081,Monday,1492,4.21999979019165,6497
1624580081,Tuesday,1402,1.8400000333786,2826
1624580081,Friday,1404,1.54999995231628,2390
1624580081,Tuesday,1334,1.37000000476837,2100
1624580081,Wednesday,1368,1.42999994754791,2193
1624580081,Thursday,1370,1.61000001430511,2470
1624580081,Friday,1341,1.12000000476837,1727
1624580081,Saturday,1474,1.37000000476837,2104
1624580081,Sunday,1427,2.23000001907349,3427
1624580081,Monday,1328,1.12999999523163,1732
1624580081,Tuesday,1393,1.92999994754791,2969
1624580081,Wednesday,1359,2.03999996185303,3134
1624580081,Thursday,1002,1.92999994754791,2971
1644430081,Wednesday,2430,1.76999998092651,2436
1644430081,Thursday,2140,0.889999985694885,1223
1644430081,Friday,2344,2.67000007629395,3673
1644430081,Sunday,2413,2.41000008583069,3321
1644430081,Wednesday,2489,2.20000004768372,3032
1644430081,Friday,2498,2.30999994277954,3176
1644430081,Wednesday,2222,1.67999994754791,2309
1644430081,Sunday,2987,4.8899998664856,6724
1644430081,Wednesday,1276,0.970000028610229,1329
1844505072,Tuesday,2030,4.42999982833862,6697
1844505072,Wednesday,1860,3.25999999046326,4929
1844505072,Thursday,2130,5.25,7937
1844505072,Friday,1725,2.53999996185303,3844
1844505072,Saturday,1657,2.25999999046326,3414
1844505072,Tuesday,1366,0.129999995231628,197
1844505072,Friday,1827,3.54999995231628,5372
1844505072,Saturday,1645,2.35999989509583,3570
1844505072,Thursday,1992,4.57000017166138,6907
1844505072,Friday,1856,3.25,4920
1844505072,Saturday,1763,2.67000007629395,4014
1844505072,Wednesday,1549,1.37000000476837,2080
1844505072,Thursday,1589,1.48000001907349,2237
1844505072,Friday,1351,0.0299999993294477,44
1927972279,Tuesday,2220,0.469999998807907,678
1927972279,Wednesday,2151,0.25,356
1927972279,Friday,2221,0.680000007152557,980
1927972279,Monday,2111,0.170000001788139,244
1927972279,Friday,2093,0.100000001490116,149
1927972279,Saturday,2499,2.03999996185303,2945
1927972279,Monday,2100,0.109999999403954,152
1927972279,Thursday,2351,1.1599999666214,1675
1927972279,Tuesday,2195,0.920000016689301,1326
1927972279,Wednesday,2338,1.24000000953674,1786
1927972279,Friday,2383,1.45000004768372,2091
1927972279,Saturday,2229,1.03999996185303,1510
2022484408,Saturday,2069,4.21000003814697,6001
2022484408,Sunday,1848,2.30999994277954,3292
2026352035,Wednesday,1521,3.09999990463257,4993
2026352035,Thursday,1431,2.0699999332428,3335
2026352035,Friday,1444,2.36999988555908,3821
2026352035,Saturday,1373,1.58000004291534,2547
2026352035,Sunday,1214,0.519999980926514,838
2026352035,Monday,1419,2.05999994277954,3325
2026352035,Tuesday,1356,1.5,2424
2026352035,Wednesday,1667,4.48000001907349,7222
2026352035,Thursday,1370,1.52999997138977,2467
2026352035,Friday,1399,1.80999994277954,2915
2026352035,Saturday,1916,7.71000003814697,12357
2026352035,Sunday,1401,2.16000008583069,3490
2026352035,Monday,1576,3.73000001907349,6017
2026352035,Tuesday,1595,3.6800000667572,5933
2026352035,Wednesday,1593,3.76999998092651,6088
2026352035,Thursday,1649,3.95000004768372,6375
2026352035,Friday,1692,4.71000003814697,7604
2026352035,Saturday,1506,2.9300000667572,4729
2026352035,Sunday,1447,2.27999997138977,3609
2026352035,Monday,1690,4.34999990463257,7018
2026352035,Tuesday,1604,3.72000002861023,5992
2026352035,Wednesday,1658,4.07000017166138,6564
2026352035,Thursday,1926,7.53999996185303,12167
2026352035,Friday,1736,5.07999992370605,8198
2026352035,Sunday,1555,3.45000004768372,5528
2026352035,Monday,1869,6.61999988555908,10685
2026352035,Tuesday,1141,0.159999996423721,254
2026352035,Wednesday,1698,5.32000017166138,8580
2026352035,Thursday,1364,5.51000022888184,8891
2320127002,Saturday,1724,3.41000008583069,5057
2320127002,Sunday,1852,4.17999982833862,6198
2320127002,Friday,1851,3.75999999046326,5583
2320127002,Saturday,1804,3.42000007629395,5079
2320127002,Sunday,1725,2.80999994277954,4165
2320127002,Tuesday,1632,2.29999995231628,3409
2320127002,Wednesday,1481,1.1599999666214,1715
2320127002,Thursday,1473,1.02999997138977,1532
2320127002,Friday,1410,0.620000004768372,924
2320127002,Saturday,1779,3.07999992370605,4571
2320127002,Sunday,1403,0.519999980926514,772
2320127002,Wednesday,1426,0.810000002384186,1201
2320127002,Friday,1742,3.28999996185303,4878
2320127002,Saturday,1972,4.96999979019165,7379
2320127002,Sunday,1821,3.48000001907349,5161
2320127002,Monday,1630,2.07999992370605,3090
2320127002,Tuesday,1899,4.19999980926514,6227
2347167796,Sunday,2187,6.26000022888184,9471
2347167796,Tuesday,1861,3.95000004768372,5980
2347167796,Thursday,1854,3.59999990463257,5439
2347167796,Friday,403,0.0299999993294477,42
2873212765,Thursday,1893,5.32000017166138,7910
2873212765,Friday,2063,5.69999980926514,8482
2873212765,Tuesday,1956,5.36999988555908,7948
2873212765,Wednesday,1966,2.35999989509583,3516
2873212765,Wednesday,2015,5.55999994277954,8278
2873212765,Sunday,2096,5.53999996185303,8168
2873212765,Monday,1906,5.19000005722046,7726
2873212765,Tuesday,1962,5.55999994277954,8275
2873212765,Thursday,1431,5.1100001335144,7566
3372868164,Tuesday,1788,3.24000000953674,4747
3372868164,Friday,1908,5.07999992370605,7451
3372868164,Saturday,1908,4.73000001907349,6905
3372868164,Tuesday,1985,5.26000022888184,7711
3372868164,Friday,1669,2.61999988555908,3843
3372868164,Monday,2010,4.09000015258789,5995
3372868164,Thursday,1972,3.75999999046326,5512
3372868164,Friday,2044,6.23000001907349,9135
3372868164,Sunday,1237,2.09999990463257,3077
3977333714,Thursday,1397,4.07999992370605,6093
3977333714,Wednesday,52,0.5,746
4020332650,Thursday,2011,0.0799999982118607,108
4020332650,Monday,1995,0.0399999991059303,62
4020332650,Tuesday,2828,3.22000002861023,4496
4020332650,Friday,2704,3.13000011444092,4369
4020332650,Saturday,2975,4.40000009536743,6132
4020332650,Sunday,3089,4.19999980926514,5862
4020332650,Tuesday,2926,3.98000001907349,5546
4020332650,Thursday,1120,0.419999986886978,590
4057192912,Tuesday,2286,4.03000020980835,5394
4057192912,Wednesday,2306,4.46999979019165,5974
4319703577,Tuesday,2115,5.19999980926514,7753
4319703577,Friday,1985,3.79999995231628,5664
4319703577,Saturday,1884,3.1800000667572,4744
4319703577,Sunday,1464,0.0199999995529652,29
4319703577,Tuesday,2200,5.98999977111816,8925
4319703577,Thursday,1792,2.48000001907349,3702
4319703577,Saturday,1945,3.30999994277954,4935
4319703577,Sunday,1593,0.839999973773956,1251
4319703577,Sunday,1792,2.46000003814697,3672
4388161847,Tuesday,2955,7.78000020980835,10122
4388161847,Friday,3066,6.73000001907349,8758
4388161847,Sunday,2572,3.57999992370605,4660
4388161847,Thursday,1623,2.58999991416931,3369
4445114986,Tuesday,2113,2.20000004768372,3276
