Id,ActivityHour,weekday,hour,Calories
8053475328,2016-04-12T15:00:00,Tuesday,15,76.0
8053475328,2016-04-13T00:00:00,Wednesday,0,76.0
8053475328,2016-04-18T02:00:00,Monday,2,76.0
8053475328,2016-04-18T16:00:00,Monday,16,76.0
8053475328,2016-04-24T23:00:00,Sunday,23,76.0
8053475328,2016-04-30T13:00:00,Saturday,13,76.0
8053475328,2016-05-04T20:00:00,Wednesday,20,76.0
8053475328,2016-05-05T01:00:00,Thursday,1,76.0
8053475328,2016-05-08T01:00:00,Sunday,1,76.0
8053475328,2016-05-09T03:00:00,Monday,3,76.0
8053475328,2016-05-11T01:00:00,Wednesday,1,76.0
8053475328,2016-05-11T03:00:00,Wednesday,3,76.0
8053475328,2016-04-18T00:00:00,Monday,0,80.0
8053475328,2016-04-18T20:00:00,Monday,20,80.0
8053475328,2016-04-20T12:00:00,Wednesday,12,80.0
8053475328,2016-04-22T12:00:00,Friday,12,80.0
8053475328,2016-04-30T21:00:00,Saturday,21,80.0
8053475328,2016-05-06T02:00:00,Friday,2,80.0
8053475328,2016-05-09T01:00:00,Monday,1,80.0
8053475328,2016-05-09T19:00:00,Monday,19,80.0
8053475328,2016-05-11T11:00:00,Wednesday,11,80.0
8053475328,2016-05-12T00:00:00,Thursday,0,80.0
8053475328,2016-04-12T20:00:00,Tuesday,20,84.0
8053475328,2016-04-14T02:00:00,Thursday,2,84.0
8053475328,2016-04-20T10:00:00,Wednesday,10,84.0
8053475328,2016-04-22T11:00:00,Friday,11,84.0
8053475328,2016-04-27T01:00:00,Wednesday,1,84.0
8053475328,2016-05-11T04:00:00,Wednesday,4,84.0
8053475328,2016-04-12T12:00:00,Tuesday,12,88.0
8053475328,2016-04-12T13:00:00,Tuesday,13,88.0
8053475328,2016-04-19T00:00:00,Tuesday,0,88.0
8053475328,2016-04-21T23:00:00,Thursday,23,88.0
8053475328,2016-04-22T02:00:00,Friday,2,88.0
8053475328,2016-04-22T18:00:00,Friday,18,88.0
8053475328,2016-05-03T01:00:00,Tuesday,1,88.0
8053475328,2016-05-10T02:00:00,Tuesday,2,88.0
8053475328,2016-05-10T22:00:00,Tuesday,22,88.0
8053475328,2016-04-12T23:00:00,Tuesday,23,92.0
8053475328,2016-04-15T00:00:00,Friday,0,92.0
8053475328,2016-04-19T23:00:00,Tuesday,23,92.0
8053475328,2016-04-23T12:00:00,Saturday,12,92.0
8053475328,2016-04-29T11:00:00,Friday,11,92.0
8053475328,2016-04-23T03:00:00,Saturday,3,96.0
8053475328,2016-04-27T02:00:00,Wednesday,2,96.0
8053475328,2016-05-01T13:00:00,Sunday,13,96.0
8053475328,2016-05-02T22:00:00,Monday,22,96.0
8053475328,2016-05-08T20:00:00,Sunday,20,96.0
8053475328,2016-05-03T22:00:00,Tuesday,22,100.0
8053475328,2016-05-08T00:00:00,Sunday,0,100.0
8053475328,2016-04-14T22:00:00,Thursday,22,104.0
8053475328,2016-04-18T15:00:00,Monday,15,104.0
8053475328,2016-04-19T13:00:00,Tuesday,13,104.0
8053475328,2016-04-25T12:00:00,Monday,12,104.0
8053475328,2016-04-26T23:00:00,Tuesday,23,104.0
8053475328,2016-05-03T00:00:00,Tuesday,0,104.0
8053475328,2016-05-04T16:00:00,Wednesday,16,104.0
8053475328,2016-05-06T18:00:00,Friday,18,104.0
8053475328,2016-04-26T17:00:00,Tuesday,17,108.0
8053475328,2016-04-28T11:00:00,Thursday,11,108.0
8053475328,2016-05-05T17:00:00,Thursday,17,108.0
8053475328,2016-05-09T17:00:00,Monday,17,108.0
8053475328,2016-04-15T16:00:00,Friday,16,112.0
8053475328,2016-05-03T12:00:00,Tuesday,12,112.0
8053475328,2016-04-25T16:00:00,Monday,16,116.0
8053475328,2016-05-03T16:00:00,Tuesday,16,120.0
8053475328,2016-04-14T10:00:00,Thursday,10,124.0
8053475328,2016-04-23T20:00:00,Saturday,20,124.0
8053475328,2016-05-03T18:00:00,Tuesday,18,128.0
8053475328,2016-05-03T21:00:00,Tuesday,21,128.0
8053475328,2016-05-09T12:00:00,Monday,12,128.0
8053475328,2016-05-10T21:00:00,Tuesday,21,128.0
8053475328,2016-04-26T21:00:00,Tuesday,21,136.0
8053475328,2016-05-05T18:00:00,Thursday,18,144.0
8053475328,2016-04-30T16:00:00,Saturday,16,168.0
8053475328,2016-04-13T17:00:00,Wednesday,17,184.0
8053475328,2016-04-25T18:00:00,Monday,18,184.0
8053475328,2016-04-27T14:00:00,Wednesday,14,200.0
8053475328,2016-04-12T18:00:00,Tuesday,18,240.0
8053475328,2016-04-12T17:00:00,Tuesday,17,272.0
8053475328,2016-05-11T14:00:00,Wednesday,14,288.0
8053475328,2016-04-25T21:00:00,Monday,21,320.0
8053475328,2016-04-23T13:00:00,Saturday,13,368.0
8053475328,2016-04-16T13:00:00,Saturday,13,384.0
8053475328,2016-05-06T14:00:00,Friday,14,400.0
8053475328,2016-05-06T22:00:00,Friday,22,305.0
8053475328,2016-04-19T16:00:00,Tuesday,16,321.0
8053475328,2016-04-15T18:00:00,Friday,18,353.0
8053475328,2016-04-30T15:00:00,Saturday,15,369.0
8053475328,2016-04-19T12:00:00,Tuesday,12,129.0
8053475328,2016-04-26T22:00:00,Tuesday,22,129.0
8053475328,2016-04-27T17:00:00,Wednesday,17,129.0
