Id,weekday,hour,Value
2026352035,Monday,9,106
2026352035,Monday,9,108
2026352035,Monday,9,107
2026352035,Monday,9,115
2026352035,Monday,9,114
2026352035,Monday,9,113
2026352035,Monday,9,112
2026352035,Monday,9,111
2026352035,Monday,9,109
2026352035,Monday,9,110
2026352035,Monday,10,108
2026352035,Monday,10,107
2026352035,Monday,10,110
2026352035,Monday,10,109
2026352035,Monday,10,106
2026352035,Monday,11,106
2026352035,Monday,11,107
2026352035,Monday,11,109
2026352035,Monday,11,111
2026352035,Monday,11,113
2026352035,Monday,11,116
2026352035,Monday,11,118
2026352035,Monday,11,121
2026352035,Monday,11,124
2026352035,Monday,11,125
2026352035,Monday,11,122
2026352035,Monday,11,119
2026352035,Monday,11,117
2026352035,Monday,11,112
2026352035,Monday,11,108
2026352035,Monday,18,106
2026352035,Monday,18,119
2026352035,Monday,18,122
2026352035,Monday,18,116
2026352035,Monday,18,114
2026352035,Monday,18,113
2026352035,Monday,18,111
2026352035,Monday,16,106
2026352035,Monday,16,107
2026352035,Monday,16,110
2026352035,Monday,16,109
2026352035,Monday,16,108
2026352035,Monday,16,122
2026352035,Monday,16,121
2026352035,Monday,16,119
2026352035,Monday,16,123
2026352035,Monday,16,116
2026352035,Monday,16,115
2026352035,Monday,16,113
2026352035,Monday,16,118
2026352035,Monday,16,117
2026352035,Monday,16,120
2026352035,Monday,16,111
2026352035,Monday,16,112
2026352035,Monday,16,114
2026352035,Monday,17,106
2026352035,Monday,17,107
2026352035,Monday,17,108
2026352035,Monday,17,109
2026352035,Monday,17,110
2026352035,Monday,17,112
2026352035,Monday,17,111
2026352035,Monday,17,114
2026352035,Monday,17,113
2026352035,Monday,17,115
2026352035,Monday,17,116
2026352035,Monday,18,107
2026352035,Monday,18,109
2026352035,Monday,18,115
2026352035,Monday,18,110
2026352035,Monday,19,107
2026352035,Monday,19,106
2026352035,Monday,19,108
2026352035,Sunday,5,63
2026352035,Sunday,5,64
2026352035,Sunday,5,65
2026352035,Sunday,5,66
2026352035,Sunday,5,67
2026352035,Sunday,5,68
2026352035,Sunday,6,68
2026352035,Sunday,5,69
2026352035,Sunday,6,69
2026352035,Sunday,5,70
2026352035,Sunday,6,70
2026352035,Monday,9,70
