Id,ActivityDay,week_day,Calories
8053475328,2016-04-12,Tuesday,3186
8053475328,2016-04-13,Wednesday,3140
8053475328,2016-04-14,Thursday,3411
8053475328,2016-04-15,Friday,3410
8053475328,2016-04-16,Saturday,2867
8053475328,2016-04-17,Sunday,3213
8053475328,2016-04-18,Monday,3133
8053475328,2016-04-19,Tuesday,3114
8053475328,2016-04-20,Wednesday,3043
8053475328,2016-04-21,Thursday,3103
8053475328,2016-04-22,Friday,2655
8053475328,2016-04-23,Saturday,3554
8053475328,2016-04-24,Sunday,3577
8053475328,2016-04-25,Monday,3403
8053475328,2016-04-26,Tuesday,2846
8053475328,2016-04-27,Wednesday,2852
8053475328,2016-04-28,Thursday,3062
8053475328,2016-04-29,Friday,2794
8053475328,2016-04-30,Saturday,2408
8053475328,2016-05-01,Sunday,1886
8053475328,2016-05-02,Monday,1988
8053475328,2016-05-03,Tuesday,3023
8053475328,2016-05-04,Wednesday,2918
8053475328,2016-05-05,Thursday,2950
8053475328,2016-05-06,Friday,2859
8053475328,2016-05-07,Saturday,3331
8053475328,2016-05-08,Sunday,3589
8053475328,2016-05-09,Monday,2765
8053475328,2016-05-10,Tuesday,2926
8053475328,2016-05-11,Wednesday,2809
8053475328,2016-05-12,Thursday,1505
1644430081,2016-04-12,Tuesday,3199
1644430081,2016-04-13,Wednesday,2902
1644430081,2016-04-14,Thursday,3226
1644430081,2016-04-15,Friday,2750
1644430081,2016-04-16,Saturday,3493
1644430081,2016-04-17,Sunday,3011
1644430081,2016-04-18,Monday,2806
1644430081,2016-04-19,Tuesday,3300
1644430081,2016-04-20,Wednesday,2430
1644430081,2016-04-21,Thursday,2140
1644430081,2016-04-22,Friday,2344
1644430081,2016-04-23,Saturday,2677
1644430081,2016-04-24,Sunday,2413
1644430081,2016-04-25,Monday,2497
1644430081,2016-04-26,Tuesday,3123
1644430081,2016-04-27,Wednesday,2489
1644430081,2016-04-28,Thursday,3108
1644430081,2016-04-29,Friday,2498
1644430081,2016-04-30,Saturday,3846
1644430081,2016-05-01,Sunday,2696
1644430081,2016-05-02,Monday,2580
1644430081,2016-05-03,Tuesday,3324
1644430081,2016-05-04,Wednesday,2222
1644430081,2016-05-05,Thursday,2463
1644430081,2016-05-06,Friday,3328
1644430081,2016-05-07,Saturday,3404
1644430081,2016-05-08,Sunday,2987
1644430081,2016-05-09,Monday,3008
1644430081,2016-05-10,Tuesday,2799
1644430081,2016-05-11,Wednesday,1276
4558609924,2016-04-12,Tuesday,1909
4558609924,2016-04-13,Wednesday,1722
4558609924,2016-04-15,Friday,2121
4558609924,2016-04-16,Saturday,1997
4558609924,2016-04-17,Sunday,2117
4558609924,2016-04-18,Monday,2116
4558609924,2016-04-19,Tuesday,1876
