Id,ActivityHour,weekday,hour,TotalSteps
8053475328,2016-04-12T00:00:00,Tuesday,0,0
8053475328,2016-04-12T03:00:00,Tuesday,3,0
8053475328,2016-04-12T04:00:00,Tuesday,4,0
8053475328,2016-04-12T05:00:00,Tuesday,5,0
8053475328,2016-04-12T06:00:00,Tuesday,6,0
8053475328,2016-04-12T07:00:00,Tuesday,7,0
8053475328,2016-04-12T08:00:00,Tuesday,8,0
8053475328,2016-04-12T09:00:00,Tuesday,9,0
8053475328,2016-04-12T10:00:00,Tuesday,10,0
8053475328,2016-04-12T15:00:00,Tuesday,15,0
8053475328,2016-04-13T02:00:00,Wednesday,2,0
8053475328,2016-04-13T03:00:00,Wednesday,3,0
8053475328,2016-04-13T04:00:00,Wednesday,4,0
8053475328,2016-04-13T05:00:00,Wednesday,5,0
8053475328,2016-04-13T06:00:00,Wednesday,6,0
8053475328,2016-04-13T07:00:00,Wednesday,7,0
8053475328,2016-04-13T08:00:00,Wednesday,8,0
8053475328,2016-04-13T09:00:00,Wednesday,9,0
8053475328,2016-04-13T15:00:00,Wednesday,15,0
8053475328,2016-04-14T01:00:00,Thursday,1,0
8053475328,2016-04-14T03:00:00,Thursday,3,0
8053475328,2016-04-14T04:00:00,Thursday,4,0
8053475328,2016-04-14T05:00:00,Thursday,5,0
8053475328,2016-04-14T06:00:00,Thursday,6,0
8053475328,2016-04-14T07:00:00,Thursday,7,0
8053475328,2016-04-14T08:00:00,Thursday,8,0
8053475328,2016-04-14T09:00:00,Thursday,9,0
8053475328,2016-04-15T03:00:00,Friday,3,0
8053475328,2016-04-15T04:00:00,Friday,4,0
8053475328,2016-04-15T05:00:00,Friday,5,0
8053475328,2016-04-15T06:00:00,Friday,6,0
8053475328,2016-04-15T07:00:00,Friday,7,0
8053475328,2016-04-15T08:00:00,Friday,8,0
8053475328,2016-04-15T09:00:00,Friday,9,0
8053475328,2016-04-15T10:00:00,Friday,10,0
8053475328,2016-04-15T23:00:00,Friday,23,0
8053475328,2016-04-16T00:00:00,Saturday,0,0
8053475328,2016-04-16T01:00:00,Saturday,1,0
8053475328,2016-04-16T02:00:00,Saturday,2,0
8053475328,2016-04-16T04:00:00,Saturday,4,0
8053475328,2016-04-16T05:00:00,Saturday,5,0
8053475328,2016-04-16T06:00:00,Saturday,6,0
8053475328,2016-04-16T07:00:00,Saturday,7,0
8053475328,2016-04-16T08:00:00,Saturday,8,0
8053475328,2016-04-16T09:00:00,Saturday,9,0
8053475328,2016-04-16T10:00:00,Saturday,10,0
8053475328,2016-04-16T23:00:00,Saturday,23,0
8053475328,2016-04-17T00:00:00,Sunday,0,0
8053475328,2016-04-17T01:00:00,Sunday,1,0
